player_name,player_id,min_tourn_date,max_tourn_date,total_matches
 Gishiyan,226978,1971-02-25 00:00:00,1972-02-20 00:00:00,2
 Gnofrey,232586,1986-10-27 00:00:00,1986-10-27 00:00:00,1
 Gomez De Croon,228175,1968-07-22 00:00:00,1968-07-22 00:00:00,1
 Goodman,229736,1980-12-08 00:00:00,1980-12-08 00:00:00,1
 Gotchen,227660,1970-07-06 00:00:00,1970-07-06 00:00:00,2
 Greig,230329,1981-11-16 00:00:00,1981-11-16 00:00:00,1
 Gromwell,229554,1980-07-07 00:00:00,1980-07-07 00:00:00,1
 Guyon,229428,1980-04-30 00:00:00,1980-04-30 00:00:00,1
 Haegel,228531,1978-12-11 00:00:00,1978-12-11 00:00:00,1
 Hagenauer,231288,1983-09-12 00:00:00,1983-09-12 00:00:00,1
 Haley,231646,1984-01-02 00:00:00,1984-01-02 00:00:00,1
 Hardwick,226277,1974-11-18 00:00:00,1974-11-18 00:00:00,1
 Harrison,224771,1977-02-11 00:00:00,1977-03-28 00:00:00,2
 Harrison,229391,1980-03-31 00:00:00,1980-03-31 00:00:00,1
 Havey,229442,1980-05-05 00:00:00,1980-05-05 00:00:00,1
 Hayasaki,230326,1981-10-19 00:00:00,1981-10-19 00:00:00,1
 Heffels,229697,1980-11-10 00:00:00,1980-11-10 00:00:00,1
 Heinz,229466,1980-05-22 00:00:00,1980-05-22 00:00:00,1
 Hennes,224813,1977-07-04 00:00:00,1977-07-04 00:00:00,1
 Herb,229609,1980-07-19 00:00:00,1980-08-14 00:00:00,2
 Herbrechter,229607,1980-07-19 00:00:00,1980-07-19 00:00:00,1
 Herfs,225368,1970-08-24 00:00:00,1976-07-05 00:00:00,5
 Herz,229601,1980-07-19 00:00:00,1980-07-19 00:00:00,1
 Hieber,229650,1980-08-27 00:00:00,1980-08-27 00:00:00,1
 Hiebler,225331,1974-05-06 00:00:00,1976-07-05 00:00:00,8
 Hipperson,225345,1976-03-08 00:00:00,1976-03-08 00:00:00,1
 Hoesch,228094,1968-08-26 00:00:00,1969-08-28 00:00:00,2
 Hoffmeiner,226225,1974-05-29 00:00:00,1974-05-29 00:00:00,1
 Hollensteiner,229472,1980-05-22 00:00:00,1980-05-22 00:00:00,1
 Homedes,231685,1984-10-08 00:00:00,1984-10-08 00:00:00,1
 Hook,229508,1980-07-05 00:00:00,1980-07-05 00:00:00,1
 Horn,229474,1980-05-22 00:00:00,1980-05-22 00:00:00,1
 Hornischer,227695,1969-08-12 00:00:00,1970-08-17 00:00:00,3
 Hudson,229511,1980-07-05 00:00:00,1980-07-05 00:00:00,1
 Irmler,227544,1971-05-24 00:00:00,1971-05-24 00:00:00,1
 Ishikawa,230323,1981-10-19 00:00:00,1981-10-19 00:00:00,1
