player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,repeat_flag
Maria Fernanda Navarro,"['223287', '223367']",2020-03-09 00:00:00,2022-11-28 00:00:00,88,223287,True
Maria Garcia,"['234317', '238068']",1989-05-22 00:00:00,2022-11-21 00:00:00,9,234317,True
Maria Ines Leal,"['208917', '234327']",1989-06-19 00:00:00,2005-04-11 00:00:00,2,208917,True
Maricris Gentz,"['202942', '236012']",1992-11-09 00:00:00,2009-11-09 00:00:00,92,202942,True
Matylda Burylo,"['222066', '222845']",2019-05-06 00:00:00,2019-10-21 00:00:00,2,222066,True
Michiyo Nakamura,"['222526', '260748']",2019-08-26 00:00:00,2022-09-26 00:00:00,2,222526,True
Milena Gadjanova,"['206694', '235571']",1991-09-16 00:00:00,1997-09-24 00:00:00,32,206694,True
Millie Didio,"['210090', '233026']",1987-08-17 00:00:00,2008-10-27 00:00:00,4,210090,True
Miriam Dagostini,"['201950', '235632']",1991-11-25 00:00:00,2001-01-01 00:00:00,280,201950,True
Monica Toledo,"['214102', '236358']",1995-04-17 00:00:00,2013-10-28 00:00:00,4,214102,True
Najah Dawson,"['220387', '260881']",2017-04-10 00:00:00,2022-10-17 00:00:00,2,220387,True
Nana Kawagishi,"['221771', '244078']",2019-01-14 00:00:00,2022-12-19 00:00:00,97,221771,True
Natasha Khan,"['203274', '233569']",1988-08-01 00:00:00,2009-12-07 00:00:00,134,203274,True
Nelly Pardo,"['204549', '232546']",1986-09-22 00:00:00,1998-11-16 00:00:00,37,204549,True
Nicole Coopersmith,"['214080', '260200']",2013-10-14 00:00:00,2022-08-08 00:00:00,70,214080,True
Olga Arevalo,"['210851', '236300']",1994-09-12 00:00:00,2010-09-20 00:00:00,2,210851,True
Pamela Floro,"['207552', '236013']",1992-11-09 00:00:00,1998-02-20 00:00:00,20,207552,True
Patricia Zerdan,"['208612', '235592']",1991-10-14 00:00:00,2006-10-02 00:00:00,11,208612,True
Petra Sedlackova,"['220690', '231671']",1984-09-24 00:00:00,2021-04-19 00:00:00,23,220690,True
Raluca Sandu,"['200752', '236153']",1993-09-13 00:00:00,2004-01-26 00:00:00,297,200752,True
Rita Kuti Kis,"['200119', '235598']",1991-10-21 00:00:00,2006-06-12 00:00:00,494,200119,True
Ruth Diaz,"['206800', '235082']",1990-10-01 00:00:00,1996-09-30 00:00:00,10,206800,True
S Thompson,"['223629', '223845']",1970-07-13 00:00:00,1981-07-06 00:00:00,4,223629,True
Sabath Ibrahim,"['205192', '235146']",1990-11-26 00:00:00,2019-10-14 00:00:00,34,205192,True
Sabhyata Nihalani,"['215965', '252523']",2016-05-30 00:00:00,2021-10-11 00:00:00,3,215965,True
Sabine Lutter,"['204151', '235953']",1992-08-31 00:00:00,1998-05-27 00:00:00,79,204151,True
Sabrina Valenti,"['204507', '236073']",1993-05-03 00:00:00,2002-05-06 00:00:00,116,204507,True
Salma Ewing,"['215921', '260299']",2016-05-09 00:00:00,2022-10-17 00:00:00,59,215921,True
Samira Takourabet,"['208230', '235126']",1990-11-19 00:00:00,2003-09-15 00:00:00,10,208230,True
Sarah Taylor,"['201312', '223554']",1972-01-19 00:00:00,2005-10-24 00:00:00,276,201312,True
Sarit Shalev,"['207320', '231323']",1983-10-17 00:00:00,1997-11-17 00:00:00,12,207320,True
Silvana Vargas,"['212602', '235973']",1992-09-28 00:00:00,1997-05-02 00:00:00,2,212602,True
